ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_1932,Africa,,"['CLIMATIC_lag2', 'ECONOMIC_lag1']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECONOMIC_lag1,0.5886981197558336,0.6382981630565887
mod_1933,Africa,,"['CLIMATIC_lag2', 'ECONOMIC_lag2']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECONOMIC_lag2,0.5835126472449625,0.637075530455009
mod_1934,Africa,,"['CLIMATIC_lag2', 'ECONOMIC_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECONOMIC_lag3,0.5844398665442577,0.642805799625454
mod_1935,Africa,,"['CLIMATIC_lag2', 'ECONOMIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECONOMIC_lag4,0.5829252438762145,0.6532586102155616
mod_1936,Africa,,"['CLIMATIC_lag2', 'ECONOMIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + ECONOMIC_lag5,0.5774690957112858,0.6602654571839812
mod_1937,Africa,,"['CLIMATIC_lag2', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag2 + GEOPHYSICAL_lag1,0.5828144458281445,0.6390113964639605
mod_1938,Africa,,"['CLIMATIC_lag2', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag2 + GEOPHYSICAL_lag2,0.5768674846375272,0.6399784156410107
mod_1939,Africa,,"['CLIMATIC_lag2', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + GEOPHYSICAL_lag3,0.5805727848809871,0.6443779286023524
mod_1940,Africa,,"['CLIMATIC_lag2', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + GEOPHYSICAL_lag4,0.5660909428577013,0.6567702998633306
mod_1941,Africa,,"['CLIMATIC_lag2', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + GEOPHYSICAL_lag5,0.554196163754844,0.6651980313272818
mod_1942,Africa,,"['CLIMATIC_lag2', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag2 + TECHNOLOGICAL_lag1,0.599534532388788,0.634951638183249
mod_1943,Africa,,"['CLIMATIC_lag2', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag2 + TECHNOLOGICAL_lag2,0.5869015780985241,0.6379689822479423
mod_1944,Africa,,"['CLIMATIC_lag2', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag2 + TECHNOLOGICAL_lag3,0.5926532165968785,0.6422471599810942
mod_1945,Africa,,"['CLIMATIC_lag2', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag2 + TECHNOLOGICAL_lag4,0.5882059703243212,0.6495315073190122
mod_1946,Africa,,"['CLIMATIC_lag2', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag2 + TECHNOLOGICAL_lag5,0.574941547054621,0.6585451441064236
mod_1947,Africa,,"['CLIMATIC_lag3', 'CLIMATIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag3 + CLIMATIC_lag4,0.5181172169765215,0.6632746478712701
mod_1948,Africa,,"['CLIMATIC_lag3', 'CLIMATIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag3 + CLIMATIC_lag5,0.5227181702063173,0.6695463274437995
mod_1949,Africa,,"['CLIMATIC_lag3', 'CONFLICTS_lag1']",Infectious_disease_binary ~ CLIMATIC_lag3 + CONFLICTS_lag1,0.5510423430887391,0.6523659736413328
mod_1950,Africa,,"['CLIMATIC_lag3', 'CONFLICTS_lag2']",Infectious_disease_binary ~ CLIMATIC_lag3 + CONFLICTS_lag2,0.4980115990057995,0.6523671848391255
mod_1951,Africa,,"['CLIMATIC_lag3', 'CONFLICTS_lag3']",Infectious_disease_binary ~ CLIMATIC_lag3 + CONFLICTS_lag3,0.5058241339931481,0.6523595684478913
mod_1952,Africa,,"['CLIMATIC_lag3', 'CONFLICTS_lag4']",Infectious_disease_binary ~ CLIMATIC_lag3 + CONFLICTS_lag4,0.49664242566418393,0.6630455594672261
mod_1953,Africa,,"['CLIMATIC_lag3', 'CONFLICTS_lag5']",Infectious_disease_binary ~ CLIMATIC_lag3 + CONFLICTS_lag5,0.48798737849364593,0.6694958410544826
mod_1954,Africa,,"['CLIMATIC_lag3', 'ECOLOGICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECOLOGICAL_lag1,0.5288631630802302,0.6523161148475485
mod_1955,Africa,,"['CLIMATIC_lag3', 'ECOLOGICAL_lag2']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECOLOGICAL_lag2,0.5402897512259567,0.6513823182507265
mod_1956,Africa,,"['CLIMATIC_lag3', 'ECOLOGICAL_lag3']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECOLOGICAL_lag3,0.5310015898251192,0.6520899761653259
mod_1957,Africa,,"['CLIMATIC_lag3', 'ECOLOGICAL_lag4']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECOLOGICAL_lag4,0.5233686196313021,0.6631017130018177
mod_1958,Africa,,"['CLIMATIC_lag3', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECOLOGICAL_lag5,0.521603234396311,0.6687897611339669
mod_1959,Africa,,"['CLIMATIC_lag3', 'ECONOMIC_lag1']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECONOMIC_lag1,0.5515170514342014,0.6511405471039632
mod_1960,Africa,,"['CLIMATIC_lag3', 'ECONOMIC_lag2']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECONOMIC_lag2,0.5538749188293514,0.649985980348766
mod_1961,Africa,,"['CLIMATIC_lag3', 'ECONOMIC_lag3']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECONOMIC_lag3,0.5546340043440292,0.649822869745242
mod_1962,Africa,,"['CLIMATIC_lag3', 'ECONOMIC_lag4']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECONOMIC_lag4,0.5492566418391883,0.6600164944852928
mod_1963,Africa,,"['CLIMATIC_lag3', 'ECONOMIC_lag5']",Infectious_disease_binary ~ CLIMATIC_lag3 + ECONOMIC_lag5,0.5548456409257215,0.6654195746255294
mod_1964,Africa,,"['CLIMATIC_lag3', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ CLIMATIC_lag3 + GEOPHYSICAL_lag1,0.538355090799167,0.6516185524523954
