ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_5050,Asia,C(Continent),"['ECONOMIC_lag4', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag4 + GEOPHYSICAL_lag1 + C(Continent),0.5707049025500128,0.5572593074331438
mod_5051,Asia,C(Continent),"['ECONOMIC_lag4', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag4 + GEOPHYSICAL_lag2 + C(Continent),0.5468439004972018,0.5625008708557763
mod_5052,Asia,C(Continent),"['ECONOMIC_lag4', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag4 + GEOPHYSICAL_lag3 + C(Continent),0.5840950069077484,0.5557968669767861
mod_5053,Asia,C(Continent),"['ECONOMIC_lag4', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag4 + GEOPHYSICAL_lag4 + C(Continent),0.5896212056167409,0.5535230095732048
mod_5054,Asia,C(Continent),"['ECONOMIC_lag4', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag4 + GEOPHYSICAL_lag5 + C(Continent),0.6003765511339324,0.5593036858227597
mod_5055,Asia,C(Continent),"['ECONOMIC_lag4', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag4 + TECHNOLOGICAL_lag1 + C(Continent),0.6131817011013371,0.5436512703320123
mod_5056,Asia,C(Continent),"['ECONOMIC_lag4', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag4 + TECHNOLOGICAL_lag2 + C(Continent),0.6253814872343249,0.5411766699928187
mod_5057,Asia,C(Continent),"['ECONOMIC_lag4', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag4 + TECHNOLOGICAL_lag3 + C(Continent),0.6407619597711467,0.5366742393916906
mod_5058,Asia,C(Continent),"['ECONOMIC_lag4', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag4 + TECHNOLOGICAL_lag4 + C(Continent),0.629986652825152,0.532412408732457
mod_5059,Asia,C(Continent),"['ECONOMIC_lag4', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag4 + TECHNOLOGICAL_lag5 + C(Continent),0.6426957637997432,0.5405574504361635
mod_5060,Asia,C(Continent),"['ECONOMIC_lag5', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag5 + GEOPHYSICAL_lag1 + C(Continent),0.5559435173299101,0.5696380468381369
mod_5061,Asia,C(Continent),"['ECONOMIC_lag5', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag5 + GEOPHYSICAL_lag2 + C(Continent),0.5390885750962772,0.5740499128698969
mod_5062,Asia,C(Continent),"['ECONOMIC_lag5', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag5 + GEOPHYSICAL_lag3 + C(Continent),0.5645913564398802,0.5668919608701111
mod_5063,Asia,C(Continent),"['ECONOMIC_lag5', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag5 + GEOPHYSICAL_lag4 + C(Continent),0.5801754385964912,0.5653802656271429
mod_5064,Asia,C(Continent),"['ECONOMIC_lag5', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag5 + GEOPHYSICAL_lag5 + C(Continent),0.5905006418485237,0.5611823741188463
mod_5065,Asia,C(Continent),"['ECONOMIC_lag5', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECONOMIC_lag5 + TECHNOLOGICAL_lag1 + C(Continent),0.6072785622593068,0.5548832520327149
mod_5066,Asia,C(Continent),"['ECONOMIC_lag5', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECONOMIC_lag5 + TECHNOLOGICAL_lag2 + C(Continent),0.6147325631151048,0.5528899616160056
mod_5067,Asia,C(Continent),"['ECONOMIC_lag5', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ ECONOMIC_lag5 + TECHNOLOGICAL_lag3 + C(Continent),0.6151347881899871,0.5476433799024044
mod_5068,Asia,C(Continent),"['ECONOMIC_lag5', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECONOMIC_lag5 + TECHNOLOGICAL_lag4 + C(Continent),0.6112751390671801,0.5439156947256865
mod_5069,Asia,C(Continent),"['ECONOMIC_lag5', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECONOMIC_lag5 + TECHNOLOGICAL_lag5 + C(Continent),0.6388917415489945,0.5408222568493259
mod_5070,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + GEOPHYSICAL_lag2 + C(Continent),0.5492154065620543,0.5413772230545358
mod_5071,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + GEOPHYSICAL_lag3 + C(Continent),0.5771814252529684,0.5430036243970738
mod_5072,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + GEOPHYSICAL_lag4 + C(Continent),0.5717586268801174,0.5534565549552397
mod_5073,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + GEOPHYSICAL_lag5 + C(Continent),0.5969833119383825,0.5602484982526484
mod_5074,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + TECHNOLOGICAL_lag1 + C(Continent),0.6086800876010782,0.518617783244476
mod_5075,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + TECHNOLOGICAL_lag2 + C(Continent),0.6200819106345773,0.524042323465857
mod_5076,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + TECHNOLOGICAL_lag3 + C(Continent),0.6255133082582398,0.5255010855426112
mod_5077,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + TECHNOLOGICAL_lag4 + C(Continent),0.6230125588329418,0.5326886567070441
mod_5078,Asia,C(Continent),"['GEOPHYSICAL_lag1', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag1 + TECHNOLOGICAL_lag5 + C(Continent),0.6409542148053059,0.5411215622497861
mod_5079,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + GEOPHYSICAL_lag3 + C(Continent),0.5750095290149515,0.5444646197853444
mod_5080,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + GEOPHYSICAL_lag4 + C(Continent),0.5648664892246931,0.5550981375841367
mod_5081,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + GEOPHYSICAL_lag5 + C(Continent),0.5888960205391528,0.5612082579330121
mod_5082,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + TECHNOLOGICAL_lag1 + C(Continent),0.610901477152455,0.5255767299347418
mod_5083,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + TECHNOLOGICAL_lag2 + C(Continent),0.6165583070925669,0.5239068230944841
mod_5084,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + TECHNOLOGICAL_lag3 + C(Continent),0.6278614013764933,0.5249698299492658
